Row Labels,Sum of tenure_renter_occupied
Atlanta,567999
Cincinnati,143075
Houston,832215
Jacksonville,166485
Milwaukee,193302
Minneapolis,274851
Nashville,146398
New York,2177959
Philadelphia,311986
Phoenix,583611
Grand Total,5397881
