city,month-year,filings,renter_occ_HUs,filing_rate
New York,22-Feb,6398,2271037,0.28%
New York,22-Mar,9029,2271037,0.40%
New York,22-Apr,8992,2271037,0.40%
New York,22-May,9390,2271037,0.41%
New York,22-Jun,9596,2271037,0.42%
New York,22-Jul,9806,2271037,0.43%
New York,22-Aug,9235,2271037,0.41%
New York,22-Sep,10117,2271037,0.45%
New York,22-Oct,9610,2271037,0.42%
New York,22-Nov,9949,2271037,0.44%
New York,22-Dec,10514,2271037,0.46%
New York,23-Jan,11696,2291001,0.51%
New York,23-Feb,9434,2291001,0.41%
New York,23-Mar,12552,2291001,0.55%
New York,23-Apr,10800,2291001,0.47%
New York,23-May,11394,2291001,0.50%
New York,23-Jun,11756,2291001,0.51%
New York,23-Jul,10725,2291001,0.47%
New York,23-Aug,12213,2291001,0.53%
New York,23-Sep,10022,2291001,0.44%
New York,23-Oct,10952,2291001,0.48%
New York,23-Nov,10460,2291001,0.46%
New York,23-Dec,10466,2291001,0.46%
New York,24-Jan,10355,2275300,0.46%
New York,24-Feb,9928,2275300,0.44%
New York,24-Mar,10926,2275300,0.48%
New York,24-Apr,10143,2275300,0.45%
New York,24-May,10350,2275300,0.45%
New York,24-Jun,9619,2275300,0.42%
New York,24-Jul,10143,2275300,0.45%
New York,24-Aug,9983,2275300,0.44%
New York,24-Sep,9765,2275300,0.43%
New York,24-Oct,9996,2275300,0.44%
New York,24-Nov,9029,2275300,0.40%
New York,24-Dec,9577,2275300,0.42%
New York,25-Jan,9907,2275300,0.44%
New York,25-Feb,9035,2275300,0.40%
New York,25-Mar,9605,2275300,0.42%
New York,25-Apr,10250,2275300,0.45%
New York,25-May,9083,2275300,0.40%
New York,25-Jun,8892,2275300,0.39%
New York,25-Jul,10210,2275300,0.45%
New York,25-Aug,9435,2275300,0.41%
New York,25-Sep,9426,2275300,0.41%
New York,25-Oct,10348,2275300,0.45%
New York,25-Nov,8518,2275300,0.37%
New York,25-Dec,10119,2275300,0.44%
New York,26-Jan,8996,2275300,0.40%
New York,26-Feb,3194,2275300,0.14%
Philadelphia,20-Jan,2015,311986,0.65%
Philadelphia,20-Feb,1720,311986,0.55%
Philadelphia,20-Mar,813,311986,0.26%
Philadelphia,20-Apr,0,311986,0.00%
Philadelphia,20-May,0,311986,0.00%
Philadelphia,20-Jun,0,311986,0.00%
Philadelphia,20-Jul,198,311986,0.06%
Philadelphia,20-Aug,176,311986,0.06%
Philadelphia,20-Sep,701,311986,0.22%
Philadelphia,20-Oct,792,311986,0.25%
Philadelphia,20-Nov,583,311986,0.19%
Philadelphia,20-Dec,508,311986,0.16%
Philadelphia,21-Jan,559,311986,0.18%
Philadelphia,21-Feb,665,311986,0.21%
Philadelphia,21-Mar,677,311986,0.22%
Philadelphia,21-Apr,187,311986,0.06%
Philadelphia,21-May,173,311986,0.06%
Philadelphia,21-Jun,320,311986,0.10%
Philadelphia,21-Jul,444,311986,0.14%
Philadelphia,21-Aug,494,311986,0.16%
Philadelphia,21-Sep,540,311986,0.17%
Philadelphia,21-Oct,756,311986,0.24%
Philadelphia,21-Nov,909,311986,0.29%
Philadelphia,21-Dec,1031,311986,0.33%
Philadelphia,22-Jan,1044,341785,0.31%
Philadelphia,22-Feb,562,341785,0.16%
Philadelphia,22-Mar,968,341785,0.28%
Philadelphia,22-Apr,902,341785,0.26%
Philadelphia,22-May,1168,341785,0.34%
Philadelphia,22-Jun,1246,341785,0.36%
Philadelphia,22-Jul,1126,341785,0.33%
Philadelphia,22-Aug,1768,341785,0.52%
Philadelphia,22-Sep,1631,341785,0.48%
Philadelphia,22-Oct,1299,341785,0.38%
Philadelphia,22-Nov,1211,341785,0.35%
Philadelphia,22-Dec,1366,341785,0.40%
Philadelphia,23-Jan,1397,331415,0.42%
Philadelphia,23-Feb,1182,331415,0.36%
Philadelphia,23-Mar,1354,331415,0.41%
Philadelphia,23-Apr,892,331415,0.27%
Philadelphia,23-May,1092,331415,0.33%
Philadelphia,23-Jun,1103,331415,0.33%
